mot_moore;sens_num;categorie_grammaticale;prononciation;definition_francais;definition_english;variante;pluriel;domaine;synonymes;antonymes
saage;4;Verbe;à;espérer, escompter;hope, bank on;;;;;
sãage;;Verbe;ã́-è;passer sans s'arrêter, dépasser, passer au-delà;pass by without stopping, go beyond;;;;;
saag-gomtɩʋʋgo;;Nom;;arc-en-ciel;rainbow;;saag-gomtɩto;Weather, Sky;;
sãag-n-loaak gɩdgre;;expression;;interdiction de dépasser tous les véhicules à moteur autres que ceux à deux roues sans side-car;no overtaking;;;7;;
saagre;;Nom;à-é;subjonctif;subjunctive.;;;;;
saag-sõngo;;Nom;;espérance, espoir;hope;;;;;
saala;;Nom;;charbon;charcoal;;;;saan-kɩɩnga, zẽoongo;
saale;1;Verbe;à;louer, féliciter;praise, congratulate, compliment;;;;;
saale;2;Verbe;á;être lisse ou gluant;be smooth, sticky, slimy, slippery;;;;;
saale;3;Verbe;;être plein jusqu'aux bords;be full to the top (river);;;;;
saalem;1;Nom;;qui est utilisé pour rendre gluant;slippery / glutinous stuff, that is used to make slimy;;;;;
saalem;2;Nom;à;poudre de gombo;okra powder;;;Food;;
saalenga zuwoko;;Nom;;merle métallique à longue queue;long-tailed glossy starling;;;;;
saalga;;Adjectif;à-á;gluant, visqueux;sticky, slimy, viscous, slippery;;saalse;;;
saalle;1;Nom;á;charbon de bois;coal, charcoal;bug-saalle;saala;;saan-kɩɩnga;
saalle;2;Nom;à-é;silure;mud-fish;;saala;Fish;zĩm-saalle;
saalle;3;Adjectif;á;lisse, sans aspérité;smooth, without any roughness.;;saala;;;
sãam sũuri;;expression;;décourager, attrister;discourage, sadden.;;;;;
sãam tʋʋma;;expression;;gêner;disturb, bother.;;;;;
sãam yʋʋre;;Verbe;;diffamer;slander, defame.;;;;;
sãama;;Nom;;destructeur;destroyer.;;sãamdba;;;
saamba;;Nom;à-á;père, oncle paternel;father, uncle (father's side), paternal uncle;;saam-dãmba;Relationships;ba-namba, ba1;
sãamba;;Nom;à;fille à la naissance (appelée à se marier ailleurs);girl at her birth (she will get married somewhere else);;;;;
saam-biiga;;Nom;;frère ou sœur consanguin(e), parent du côté du père, cousin;brother or sister related through the father, parent from father's side, cousin;;saam-biisi;Relationships;ba-biiga;
saame;;Verbe;á-è;délayer;to mash, smash, mix solid into water, add water to;;;;;
sãame;;Verbe;à;gâter, abîmer, avarier, nuire, détruire;destroy, go bad, spoil, ruin, damage, harm;;;;;
sãana;;Nom;ã́-á;étranger (un), visiteur;stranger, guest, foreigner;;sãamba;Relationships;;
sãan-deegre;;Nom;;hospitalité;hospitality;;;;gãag sobendo, sãando, deegre;
sãando;;Nom;á-ó;hospitalité, fait d'être étranger, lieu où on est étranger;hospitality, being a foreigner, place where you are a foreigner;;;;sãan-deegre, deegre;
sãanga;1;Adjectif;ã́-á;étranger, nouveau;strange, new, foreign;;sãamse;;;
sãanga;2;Nom;à;destruction, nuisible, dégâts;destruction, dangerous, harmful, damage;;;;sãoongo;
sãan-kisgu;;Nom;;xénophobie;xenophobia.;;;;;
saan-kɩɩnga;;Nom;à-ɩ́;charbon;coal, charcoal;;;;saala, saalle1;
sãan-pɛɛlga;;Nom;;nouveau-né;newborn;pɛɛlga;sãan-peelse;;pɛɛlga2;
sãan-zõaaga;;Nom;;petite mouche d'un bleu métallique;small fly in blue metallic colour;;sãan-zõose;Insect;;
saaolgo;;Adjectif;ào-ó;gluant;slimy;saalgo;saando;;;
saas sẽn niid ne pãnga;;expression;;pluies torrentielles;torrential downpour;;;Weather;;
saasdga;;Nom;;lime;file;;;Tool;sõodga;
saase;1;Verbe;à;aiguiser, affûter, limer;sharpen sth., whet, to file;;;;;
saase;2;Verbe;;achever, terminer, faire en sorte que ça finisse;terminate, finish off, complete a task, conclude, bring to an end, to bring sth;;;;;
saasẽ;;Nom;;au ciel, le ciel;sky, heaven;;;Sky;;
sãase;;Verbe;ã́-è;peigner;comb;;;Travel;sa-gãne bõn-zɩtga;
saasẽ-saasẽ;;Nom;;très haut dans les cieux, élevé;very high in heaven;;;Sky;yĩngr-yĩngri;
saasga;;Nom;à;petite pierre plate servant à lisser le sol des maisons;small flat stone used to polish the floor of houses;;saasse;Tool;;
sãasga;;Nom;ã́-à;peigne;comb.;;sãasse;;;
sabaab wẽng sẽn tiig n wa;;expression;;catastrophe, événement brutal et dévastateur (qui cause de gros dégâts);disaster;;;;;
sabaabo;;Nom;;malheur, cause;woe, adversity, bad luck, misfortune, cause.;;;;;
sababo;;Nom;à-á-ò;intermédiaire, appui, ce qui peut occasionner quelque chose;intermediary, support, what can provide you with something;;;;;
sãb-bindu;;Nom;;démangeaison intense;itching (intense);;sãb-bina;Disease;sãbga2;
sabelle;;Adjectif;á-é;noir en un point, sur une petite surface;black at one place;;sabla;Colour;sablga;
sa-bɛd sẽn niid n kaoosdẽ;;expression;;pluies diluviennes;flood-like rain;;;Weather;;
sãbga;1;Nom;;arbre (espèce), résinier;tree sp, grape tree;sĩbga, sãmbga;sãbse;Tree;sibdga;
sãbga;2;Nom;;diurétique, mal de ventre accompagné d'éruptions cutanées, sorte de pyrosis se manifestant par des vomissements acidiques;diuretic, stomach-ache accompanied by skin problems;;sãbse;Disease;sãb-bindu;
sãbga;3;Nom;á-à;fouet;whip.;;sãbse;;;
sabge;;Verbe;á-è;en rajoutant par dessus, les uns sur les autres;adding on top, one into the other.;;sabe;;;
sãbge;;Verbe;à-è;devenir ou rendre fade;become or cause to be tasteless;;sãbse;;;
sabla;;Verbe;;être noir;be black;;;Colour;;
sablem;;Nom;á-é;noirceur;blackness;;;Colour;;
sablg liga;;Adverbe;í;tout noir;jet-black;sablg lima;;Colour;tiga;
sablga;;Adjectif;á-á;noir (couleur);black (colour);;sablse;Colour;sabelle;
sãb-noaadga;;Nom;;dysenterie;dysentery;;sãb-noaadse;Disease;sã-zɩɩm;
sãbre;;Nom;;éperon;spurs.;;sãba;;;
sãbsga;;Adjectif;;tranchant ou non gluant (parlant de sauce);sharp or not slimy (speaking of sauce);;;;zãgsenga;
sãbtõaasga;;Nom;á;musaraigne;shrew mouse;sãbtõosgo;sãbstõose;Mammal;;
sãbtolgo;;Nom;à-ó;gris-gris que l'on place dans les champs pour protéger les récoltes des vols;charms that people place at the fields to protect the harvest against theft.;;sãbtondo;;;
sãbtulga;;Nom;;arbre (espèce);tree sp;;sãbtulsi;Tree;;
sãb-tulga;;Nom;;arbre (espèce);tree sp;;sãb-tulsi;Tree;;
sada;;Adjectif;á-à;dans l’état de jeune fille, adolescente, n'ayant pas encore enfanté;in the state of young girl, adolescent, not having given birth yet, girl, virgin, young female;;sadba;;;ribla2
sadb-sadbe;;Adverbe;;lentement, nonchalamment;slowly, nonchalantly.;;;;;
sãde;1;Verbe;ã́;se lever de bonne heure;get up early;;;;yage3;
sãde;2;Verbe;ã́;passer, aller au-delà, dépasser, surpasser;pass by, go beyond;;;;;
sãdem;;Nom;á;mensonge;lie;;;;pʋ-yagbo, ziri1;
sãdemde;;Verbe;á-è;sortir vite à travers d'une ouverture;get out quickly through an opening;sãdge;;;;
sademdẽ sondre;;Nom;á-é ò-é;nom de jeune fille;maiden name.;;;;;
sademdo;;Nom;á-ó;virginité;virginity.;;;;;
sadga;;Nom;á-à;jeune femelle (animal) qui n'a pas encore mis bas;young animal female who hasn't given birth yet, heifer, young female who has not yet brought forth;;sadse;;;ribla2
sãd-n-wʋbdẽ;;Nom;;choléra;cholera;sãad-n-wʋbdẽ;;Disease;;
saeega;1;Nom;á;cul, derrière;buttocks, behind;;saeese;Body;yẽd-nifu, yẽdga;
saeega;2;Nom;á;reins;loins;;saeese;Body;kɩnde;
saeega;3;postposition;;près, à côté de;near, close to;;;;;
sãeege;;Verbe;áe-è;éparpiller;scatter things;;;;;
sãeenga;;Adjectif;à-á;nu, sans fourreau;naked, bare, without sheath;;sãeemse;;;
sae-kõbre;;Nom;;sacrum;sacrum;yẽd-kõko, sae-kõko;sae-kõba;Body;;
sae-zabre;;Nom;;maux de reins;backache, back pain;se-zabre;sae-zaba;Disease;;
safãnd wõdb zĩiga;;Nom;;savonnerie;soap factory.;;;;;
safãnde;;Nom;à-á-è;savon;soap;sãfãnde;safãna;;zẽem;
sa-gãn sẽn pa tar sawato;;expression;;ciel dégagé;clear sky;;;Weather;;
sa-gãna;;Nom;;ciel;sky;sa-gãongo;;Sky;;
sa-gãne bõn-zɩtga;;expression;;moyen de transport aérien;means of air transport;;sa-gãne bõn-zɩtse;Travel;saasẽ bõn-zɩtga;
sa-gãn-noore;;Nom;;horizon;skyline, horizon;;;Sky;nenem toaaga, yaangintĩimdi;
sa-gãn-no-vũka;;Nom;;ligne d'horizon;horizon line, skyline;;;Sky, Land;;
sa-gãonga;;Nom;;voûte céleste, ciel;firmament, sphere, sky;se-gãna;;Sky;;
sagbo;;Nom;á;tô, gâteau de mil, pâte de mil, bouillie de il ou de maïs;millet porridge, t.z;;sabdo;Food;;
sagdo;;Nom;;saleté, ordure;dirt, trash;;;;rẽko;
sage;;Verbe;;ranger en mettant les uns dans les autres;put together by putting one into the other;;;;;
sagemsalle;;Nom;;oignon;onion.;;sagemsala;;;
sagenda;;Nom;;conseiller;advisor, consultant, counsellor;;;Worker;;
sag-fɩre;;Nom;à-ɩ́-é;coléoptère aquatique, dytique;water beetle;;sa-fɩya;Insect;;
sag-kõto;;Nom;à-ó;croûte de tô collé au fond de la marmite;crust of porridge sticking at the bottom of the cooking pot.;;sag-kõdgo;;;
sagle;1;Verbe;á-è;mettre un objet dans un autre;put inside another;;;;;
sagle;2;Verbe;à;conseiller, recommander, mettre ne garde;rebuke, recommend, advice (give), warn;saglge;;;;
saglga;;Nom;à-á;conseil, mise en garde;advice, warning, rebuke;;saglse;;noor rɩkre;
saglge;;Verbe;;conseiller;recommend, advise.;sagle;;;;
saglgo;;Nom;;conseil;advice, council;;;;;
sag-ma;;Nom;à-á;tô étalé au fond du plat sur lequel on dispose les petites boulettes appelées «sag-biisi»;porridge put on the bottom of the dish;;;Food;;
sag-muuga;;Nom;à-u-á;tô constitué d'un seul gros bloc;porridge made as a big chunk;;sag-muusi;Food;;
sag-rɩ-n-kɛɛsga;;Nom;;reste de tô;remaining porridge.;;sag-rɩ-n-keesse;;;
sag-rʋko;;Nom;;jarre à tô;pot for porridge.;;;;;
sag-saanga;;Nom;;tô délayé;diluted porridge, porridge with added water;;;;;
sãgse;;Verbe;á-è;faire du bruit en s'entrechoquant;make noise by knocking together;sagse;;;;
sag-vugri;;Nom;;spatule;spatula to stir porridge.;;;;;
sag-wãre;;Nom;à-é;tô refroidi ou tô de la veille;porridge that is cooled or that is remaining from the day before.;;;;;
sag-yelle;;Nom;;espèce d'épine à trois bouts pointus;kind of thorn wit three sharp ends.;;sag-yɛla;;;
sak n deeg n gʋʋle;;expression;;adopter;to adopt, to take in.;;;;;
saka;;Nom;;quartier;residential area, district, urban quarter.;;sagse;;;
sãkandre;;Nom;;façon de parler à l'envers;manner of speaking inside out, backwards, the wrong way round;sãkande;;;;
sake;1;Verbe;á-è;enlever ce qui est dans;take out;;;;;
sake;2;Verbe;à;accepter, être d'accord, (se) laisser faire), agréer, approuver, tolérer, permettre, obéir;accept, agree, to approve of, tolerate, allow, obey, .;;sagse;;;
sake;2;Verbe;;répondre à un appel;answer to a call;;;;;
sake;3;Verbe;;réussir, prendre, bien marcher;succeed, make it, do well, be successful in doing;;;;;
sake;4;Adjectif;;permis, soumis;permitted, submissive.;;;;;
sẽn sake sake;3;Verbe;;accepter;accept;;;computer / digital;;
sa-kẽenga;;Nom;;tornade;tornado;;;Sky;seb-kaseng sẽn naag ne saag koom;
sakme;;Verbe;á-è;mâcher un petit morceau;chew a small piece.;;;;;
sa-ko-been-bãoonego;;Nom;;gouttelettes;droplets.;;;;;
sa-ko-gĩsdim;;Nom;à-í-í;neige;snow.;;;;;
sa-ko-magdga;;Nom;à-ò-á-á;pluviomètre;instrument for measuring rainfall.;;;;;
sa-koom mui;;Nom;;riz pluvial;rice from rain water;;;Agriculture;;
sa-kõre;;Nom;;balai usé, réduit aux tiges;worn out broom, reduced to bare blades of grass;;sa-kõya;Tool;;
sa-ko-zeongo;;Nom;;pluviométrie;quantity of rainfall (measuring);;;Weather;;
sakre;1;Nom;à-é;obéissance;obedience.;;;;;
sakre;2;Nom;à;probablement que, il y a des chances que;probably, there are chances that;;;;;
sakʋɩsablga;;Nom;;plante (espèce);plant sp;;;;;
sa-kʋre;;Nom;à-ʋ́-è;espèce de gris-gris qui détourne le trajet de la foudre;spell that magically reorientates the way of the lightning.;;sa-kʋya;;;
salaanga;;Verbe;à;planer à la manière d' un épervier;soar like a hawk.;;;;;
salaato;;Nom;à-á-ò;salade;salad;salaodgo;;Food;;
salbre;;Nom;;mors;bit of a bridle.;;salba;;;
salb-risga;;Nom;;rêne, bride;rein, bridle.;;salb-rissi;;;
salbsale;;Nom;à;oignons;onions;;;Food;gɛba;
sale;;Verbe;;se moquer de quelqu'un;to make fun of somebody, to mock sb., laugh at, jeer;;;;;
salembole;;Adverbe;á;sans résultat / solution;without results / solution;;;;;
salenkolooto;;Nom;á-é-ó;larve de petite fourmi;larva of a small ant;salenkoto;;Insect;;
salensaaga;;Nom;á-á;petite fourmi noire (espèce);small black ant sp;;salensaase;Insect;;
salenvũ;;Nom;à-ú;fontanelle;fontanelle;salenvũugu, sanenvũ, salnvu;salenvũudu;Body;zu-longo, sãnenvũ;
salg nanguri;;Nom;;espèce de plante dont les graines servent de condiment;kind of plant of which the grains are used as ingredient;salg nangurumdi;;Tree, Food;;
salg nangurumdi;;Nom;;espèce ressemblant à une arachide, très parfumée;kind of ground-nut, with a strong fregnant;;salg nanguri;;;
salga;;Nom;á;glissade;slipping, a slide, sth;;salse;;;
salge;1;Verbe;à;glisser;to slip, slide;;;;;
salge;2;Verbe;à;assaisonner;flavour, spice;;;;;
sal-gende;;Nom;à-é;plante (espèce);plant sp;;;Grass, herb, vine;;
salle;;Verbe;;frapper à la porte;knock at the door;;;;;
salme;;Verbe;á-è;passer la main sur, caresser légèrement;to stroke gently;;;;;
salsanga;;Nom;;merle métallique;glossy starling;sɩlsanga;salsamse salsanse;Bird;nagbĩntoaadga, subramalga;
salsanga zʋ-woko;;Nom;;merle métallique à longue queue;long-tailed Glossy Starling;;;Bird;;
sa-luka;;Nom;à-ú;pluie soudaine qui tombe sans préparation;sudden rain;;sa-lugsi;Weather, Water;;
saluka;;Nom;;averses de pluie, forte pluie soudaine qui ne dure pas longtemps;rain shower, quick heavy rain that doesn't last;;;Weather, Water;;
samande;;Nom;á-é;cour extérieure devant la maison;courtyard in front of the house.;sɩmande;samana;;;
samand-naaba;;Nom;;responsable de liaison entre le chef et ses visiteurs;elder responsible for liaison between a chief and his visitors, chamberlain.;;;;;
sãmbe;;Verbe;à;douter, croire, prendre pour vrai ce qui ne s'est pas encore avéré, supposer;doubt, believe, take for a truth even if not yet proven to be true, assume;;;;sãnde2;
sãmbga;;Nom;à-á;doute, supposition;doubt, supposition, assumption.;;sãmbse;;;
sãmbolgo;;Nom;à-ó;gouttière, trou pour laisser couler l'eau;gutter, hole to let water flow away;sãmbelgo;sãmbondo, sãmbendo;Water, Building;;
sãmbse;;Verbe;;craindre, être inquiet;be troubled about, worry, be concerned about, afraid, fearful;;;;zʋ1;
samd soaba;;Nom;á ò-á;créancier;creditor;;;Money;;
samd sokr tõogo;;Nom;á ò ó-ò;créances;financial claim, credence;;;Money;;
samde;;Nom;á-è;dette, crédit, créance, amende;debt, credit, loan, financial claim, credence, fine;;sama;Money;;
sam-dɩta;;Nom;á-ɩ́-á;personne endettée (qui ne rembourse pas);debtor, indebted person (who doesn't pay back).;;sam-dɩtba;;;
same;;Verbe;à;entasser, être entassé, empiler;stack up, heap up, to pile up, to be planted, fixed in the ground;;;;;
sãmogemde;;Nom;;langue parlée par les Samo;Samo language.;;;;;
sãmogo;;Nom;à-ó-ò;ethnie samo, peuple du Burkina;Samo people;;sãmogemba;Community;;
sãmpeongo;;Nom;;carapace;carapace;sãmpengo;sãmpendo;;;
sãmpogre;;Nom;à-é;blessure, accident;injury, accident;sãmpogdnodre;sãmpoaga;Disease;;
samsa;;Nom;;beignets de haricots;bean fritters, doughnuts;;;Food;;
sam-soaba;;Nom;á-ó-á;débiteur, emprunteur;debtor, borrower;;sam-dãmba;Money;;
samsre;;Nom;á;beignet de haricot sauté à l'huile;been doughnut mad in oil;;samsa;Food;;
sam-yiisdga;;Nom;;emprunt;loan, borrowing;;;Money;ligd-pɛngdga;
sãndalma;;Nom;;gendarme;gendarme, policeman;;;Worker;;
sãnde;1;Nom;á;beauté;beauty, beautiful.;;;;;
sãnde;2;Verbe;à;croire, prendre pour vrai;believe, assume it's true;;;;sãmbe;
sãnde;3;interrogatif;;est-ce que, je me demande si;is it, I wonder if.;;;;;
sãnem baooda;;Nom;;orpailleur;gold panner;;;Worker;;
sãnem-pɛɛlga;;Nom;;diamant;diamond.;;;;;
sãnenkolooto;;Nom;;chenille vivant dans un cocon;caterpillar living in a cocoon;;;Small animals;;
sãnensãaga;;Nom;à;herbe (espèce);grass sp;;sãnensãase;Grass, herb, vine;;
sanenvũ;;Nom;à-ú;muscle frontal, fontanelle;frontal muscle, fontanelle;sãnenvũ;;Body;;
sãnenvũ;;Nom;;fontanelle;fontanelle;sanenvũ;;Body;salenvũ;
sãnga;;Adjectif;;beau;beautiful, nice;;sãmba;;;
sãngaaga;;Nom;à-à-á;herbe, plante (espèce);grass sp;;sãngaase;Grass, herb, vine;;
sãn-gãnga;;Nom;;espèce d'herbe dont le tige sert a faire des bois de flèche;kind of plant used to make arrows;sãngãnga;sãn-gãense;Grass, herb, vine;;
sãngre;;Nom;á-é;cerceau tressé pour poser des récipients ronds;hoop made of straw to stabilize round containers, a pot-stand, a small plaited ring on which you put pots or calabashes.;;sãnga;;;
sa-niir sasa;;Nom;;saison des pluies, hivernage;rainy season;;;;sẽoog sasa, sẽoogo1;
sa-niir seobgo;;Nom;;mousson;monsoon;;;Water;;
sa-niiri;;Nom;à-í-í;précipitations;rainfall;;;Weather, Water;;
sãnkare;;Nom;;larve d'un coléoptère;beetle larva;;sãnkaya;Small animals;;
sãnkõna;;Nom;;arbuste (espèce);shrub sp;;;Bush, shrub;;
sankone;;Nom;;plante (espèce);plant sp;;;Grass, herb, vine;wãamb-kipare;
sanoabga;;Nom;;arbuste (espèce);shrub sp;;;Bush, shrub;;
sanri;;Nom;;espèce de plante;kind of plant;sãre;;Grass, herb, vine;;
sanri-daaga;;Nom;;espèce de plante;kind of plant;sãre-daaga;;Grass, herb, vine;;
sãnsãeedga;;Nom;;arbuste (espèce);shrub sp;;;Bush, shrub;zãmnenga, zãbnega;
sãnsão;;Verbe;á-à;montrer une légère amélioration, être un peu mieux;show a slight improvement, get a bit better;sãonsão;;;;
sãnsãoodo;;Nom;á-ào;amélioration, fait d'aller mieux;improvement;;;;wog-woge;
sãnteere;;Nom;à-é;langue Ashanti du Ghana;Ashanti language spoken in Ghana.;;;;;
sãntɛya;;Nom;;Ashanti;Ashanti person or ethnic group in Ghana;;sãntɛɛba;Community;;
sãntɩmetre;;Nom;á-è;centimètre (cm);centimetre (cm).;sm;;;;
sao;1;Verbe;à;danser;dance;;;;;
sao;2;Verbe;ào;sarcler sommairement (en maintenant des herbes sur pied);weed summarily (and leaving some grass standing);;;;;
sao;3;Adverbe;ào;bruit de pas;noise of footsteps;;;;;
são;;Verbe;ào;aller / être mieux, se porter mieux, être mieux, valoir mieux;get / feel better, improve, be better than;;;;;
sãobsgo;;Adjectif;ào-ó;fade;tasteless, bland;;sãbsdo;;;
saoglgo;;Nom;à-ó;conseil, le fait de conseiller;advice.;;;;;
saoko;;Nom;à-ó;saleté, ordure;dirt, trash, garbage, rubbish.;;sagdo;;;
saongo;;Nom;;tas;heap, pile.;;;;;
saooda;;Nom;á;danseur;dancer.;sãooda;saoodba;;;
saooga;;Nom;;danse;dance;;saoose;;;
sãooge;;Verbe;ã̀;guérit, être guéri;heal, be healed, to cure, get well, make better (medically);;;;"sigi1, tɩlge; antonyme: yãdge2";yãdge2
sãoogo;;Adjectif;ào-ó;à moitié plein;half full;;sãado;;;
sãoogre;;Nom;;guérison;healing;;;;maagre, yolsgo;
saoole;;Verbe;à;faire danser;cause to dance, to make sb;;;;;
sãoome;;expression;;ça va mieux;it is better;laafɩ beeme;;;;
sãoongo;;Nom;;destruction, gaspillage, dégâts;destruction, wasting, damage;sãanga;;;sãanga2;
sãoor bãaga;;Nom;;cirrhose;cirrhosis;;sãoor bãase;Disease;;
sãoore;1;Nom;áo;foie;liver;;sãoa;Body;;
sãoore;2;Nom;áo;rat maure;rat;;sãoa;Mammal;;
sãoore;3;Nom;áo-é;lumière du jour (8 h à 9 h);day light (between 8 am to 9 am);;;;sõore2;
sãoore;4;Nom;áo-è;nombre, quantité;number, quantity;;sãoa;;;
sapalgo;;Nom;á;saison sèche;dry season;sɩpaolgo, sapaolgo;sapando;Weather;zu-pɛɛla;
sa-paoore;1;Nom;à-á;sécheresse, arrêt précoce des pluies à la fin de la saison;dryness, rains stop too early at the end of the rainy season.;;;;;
sa-paoore;2;Nom;à-á;manque des pluies par arrêt anticipé, insuffisance de pluie;not enough rain because it stopped too early.;;;;;
sa-pãrga;;Nom;;arbre (espèce);tree sp;;sa-pãrse;Tree;sẽnego;
sa-pɛɛga;;Nom;á-ɛ́-á;petit tesson de poterie;small shard of pottery, small broken piece of.;;sa-peese;;;
sapɩlem;;Nom;à;grêles;hail (weather);;;Weather;;
sapɩlemde;;Nom;;grêle;hail;;;Weather;;
sapɩlɩ;;Nom;;chapelet;rosary;;;;tasbi;
sa-pugla;;Nom;á-ú-á;balai non usé utilisé pour l'intérieur de la case;broom that is still in good condition used for indoor sweeping.;;sa-pugli;;;
sãra;;Nom;à-á;branche de l’ethnie Mossi vivant dans la région de Kougpela;Branch of Mossi people living in the area of Kougpela;;sãrba;Community;;
sarbɛta;;Nom;;une serviette;napkin.;;;;;
sard rɩkre;;Nom;;engagement;commitment, involvement.;;;;;
sardo;;Nom;á-ò;contrat, convention, décision collégiale, engagement, abonnement;contract, deal, covenant, pact, common decision, commitment, pledge, subscription.;;;;;
sare;1;Nom;á-è;morceau de poterie pouvant encore être utile;shard of pottery that can still be useful, broken piece of.;;saya;;;
sare;2;Verbe;á;contracter, décider collégialement, s'entendre sur le montant d'une rémunération, abonner;to make a contract, decide in mutual agreement, agree on the amount for a salary, to subscribe, to do a deal, come to an agreement;;;;kaoole1;
sãre;1;Verbe;;étrangler;strangle, throttle;;;;;
sãre;2;Nom;à-é;variante du mooré parlé par les Mossi de la région de Kougpela;dialect of Moore spoken by the people living in the area of Kougpela.;;;;;
sãre;3;Nom;á-è;nœud coulant;slipknot.;;;;;
saremdga;;Nom;;herse;harrow;;;Agriculture, Tool;kãasdga;
sarɛta;;Nom;à-ɛ́-à;charrette;donkey cart;sɛrɛta;saretse;Agriculture, Travel;tereko, wotoro;
sãrge;;Verbe;;fermer ou ouvrir en faisant coulisser, étrangler avec un nœud coulant;open or close by sliding / gliding, strangle with a slipknot;;;;;
sarme;;Verbe;á-è;démolir, abattre, niveler, égaliser, planer;knock down, pull down, cut down, level, equalize, flatten;;;;;
sãrse;;Verbe;;égrener le mil en passant la paume de la main sur l'épi;to remove the grains with the palm of the hand.;sãre;;;;
sasa;1;Nom;à-á;moment, période, saison, époque, ère;moment, period of time, moment of time, season, time, era;;;Weather;wẽnde3;
sasa;2;Adverbe;á;à plat en longueur;flat and lengthy;;;;;
sasa buud sẽn be tʋʋlgã ne waoodã sʋka;;expression;;automne;autumn, fall;;;Weather;;
sasa magb wakat wok pʋgẽ;;expression;;climat;climate;;;Weather;;
sasa wã sẽn na yɩ a soaba;;expression;;condition météo;local weather conditions;;;Weather;;
sasa wã toeoongo;;expression;;changement climatique;climate change;;;Weather;;
sasa wilgr tũnunga;;expression;;adverbe de temps;adverb of time, time adverb;;;Grammar;;
sasemsare;;Adjectif;;horizontal;horizontal;;;;sasre;
sa-sik kiuugu;;Nom;;août, période des fréquentes pluies;August (when it rains frequently).;sa-sika kiuugu;;;;
sa-sika;;Nom;;période des fréquentes pluies (août);season of frequent rains (August), rainy season;;;;;sɩpaolgo
sasre;;Adjectif;á-è;horizontal;horizontal;;;;sasemsare;
sa-tãse;;Nom;à-á;foudre, tonnerre;lightning, thunderbolt, thunder;;;Weather, Sky;saagã yãbre;
sa-tãsga;;Nom;;foudre;lightning bolt, lightning strike;sa-tãase;;Weather, Sky;;
satem;;Nom;à-é;fin, bout, limite;end, close, tip, summit, ending, peak, extremity, edge, frontier, limit;;;;;
satem-satem;;Nom;à-è-á-é;ultime, dernier, bout, fin;last, closing, end;;;;;
sawad taoko;;expression;;amas nuageux;cloud mass;;;Weather;;
sawadgo;;Nom;à-á;nuage;cloud;sawaodgo;sawato;Sky;;
sawat kẽnde;;expression;;passage nuageux;band of clouds;;;Weather;;
sawato;;Nom;;nuages;clouds;;;Sky;;
sawi-pɛɛlga;;Nom;;plante (espèce);plant sp;;sawi-peelse;Grass, herb, vine;gõm-tiidga;
sawi-sablga;;Nom;;plante (espèce);plant sp;;sawi-sablse;Grass, herb, vine;pindu2;
sãya;;Nom;ã́;forgeron;blacksmith;;sãaba;Worker;;
sa-yãgdem;;Nom;;éclaire;lightning, flash of lightning;sa-yãgemdgo;;Sky;sa-yãgre;
sa-yãgemdgo;;Nom;;éclaire;lightning, flash of lightning;sa-yãgdem, saag yãgengo;;Sky;;
sa-yãgre;;Nom;à-á;éclair;lightning, flash of lightning, lightning-flash;;;Sky;sa-yãgdem;
sayɛlle;;Nom;á-è;Sahel;Sahel;;;Region;tẽn-koɛɛnga;
sayɛlle tẽngã neda;;expression;;sahélien;Sahelian person;;;Community;;
sã-yorgo;;Nom;;diarrhée forte;diarrhoea (strong);;sã-yordo;Disease;;
sãyy;;Adverbe;à;bruit d'objets tombant en s'éparpillant;noise f objects that fall and scatter;;;;;
sã-zɩɩm;;Nom;;dysenterie;dysentery;;;Disease;sãb-noaadga;
sẽ;1;Verbe;ẽ́;griller;roast, grill, bake sth;;;;;
sẽ;2;Verbe;ẽ̀;coudre;sew;;;;;
sẽ;3;Verbe;ẽ̀;faire un pet, lâcher des vapeurs, changer l'air;to fart, pass wind, change the air;;;;;
sẽ;4;Adverbe;;bien sûr, effectivement, pour sûr, sans doute;surely, indeed, actually, really, of course, no doubt;;;Colour;wɛ2;
seb-bila;;Nom;;carnet, livret;notebook, booklet, address book, small book.;;;;;
seb-bĩngda;;Nom;;cartable;backpack, school-bag.;;;;;
seb-bobdre;;Nom;;amulette;charm, amulet, talisman (lit;;;;tɩ-soaka;
sẽbdga;;Nom;é-à;ceinture;belt, girdle;;sẽbdse;Adornment, Clothing;;
sẽbe;;Verbe;ẽ́;ceindre, attacher autour, attacher (plusieurs choses);to gird, put on a belt, tie sth;;;;;
seb-fitu;;Nom;é-ú;papier d'emballage;wrapping paper.;;;;;
seb-fugdga;;Nom;;harmattan, vent fort du désert;strong sandy desert wind;;;Weather, Sky;sɩpaol-seobgo, sɩpal-seobgo, waood wakat sebgo sẽn fugd n tũud ne wubsgu;
sẽbga;;Adjectif;é-à;suffocant;stuffy, stifling;;sẽbse;;;
sebgã sẽn teesdẽ;;expression;;direction du vent;wind direction;;;Weather;;
sẽbge;1;Verbe;é-è;ceindre, attacher autour (une chose);to gird (single instance), put on a belt, tie sth;;sẽbe;;;
sẽbge;2;Verbe;é-è;être plein à craquer, être bourré;be completely full;;sẽbe;;;
seb-gĩndi;;Nom;;chéquier;chequebook.;;;;;
sebgo;;Nom;è-ó;vent;wind;sobgo;sebdo;Weather;;
seb-gʋnda;;Nom;;écrivain, secrétaire;writer, secretary;;;Worker;;
