mot_moore;sens_num;categorie_grammaticale;prononciation;definition_francais;definition_english;variante;pluriel;domaine;synonymes;antonymes
ba-bila;2;Nom;á-á;oncle paternel, jeune frère du père, cadet du père, sœur cadet du père, tante;uncle, younger brother of the father, fathers younger brother, younger sister of the father, aunt;baaba-bila;ba-bi;Relationships;;
ba-bi-poaka;;Nom;;sœur consanguine;blood relative sister, sister of the same father.;;ba-bi-pogse;;;
ba-bi-raoogo;;Nom;;frère consanguin;blood relative brother.;;ba-bi-raopa;;;
bable;;Verbe;à;tâtonner, tâter, palper;feel about (with hand), palpate, grope around, handle gently, touch, fondle;;;;wẽbse;
babse;;Verbe;á-è;aller rejoindre;go and join, go after.;;;;;
bada;;Adverbe;á;jamais;never, ever.;;;;;
badaare;;Adverbe;à-á;ce jour-là;on that day;;;;raar-n-kãnga;
badem-badma;;Adverbe;á-é-á-à;séparément, en ordre dispersé;separately, singly, in scattered manner.;;;;;
badga;;Nom;á-à;tabatière;tobacco box;;badse;Container;;
badge;;Verbe;á-è;séparer;separate;;;;;
bãense;2;Verbe;;boursoufler;to blister.;;;;;
bãens-roogo;;Nom;;prison;prison;;;Building;bi-bees roogo;
baga;1;Nom;á;devin, divinateur, charlatan, magicien;soothsayer, quack, charlatan, trickster, con man, diviner, medicine man, magician;;bagba;;;
baga;2;Adverbe;á;intensité de chaleur, fortement;intensely hot, strongly;;;;;
ba-gãe;;Nom;;chien enragé;enraged dog;;;;;
ba-gãeemdo;;Nom;à-ã́-ó;rage;rabies;;;Disease;;
bag-bage;;Adverbe;á;longuement et intensément;a long time and intensely.;;;;;
bagbo;;Nom;;divination, nécromancie;divination, necromancy;bagre;;;;
bage;;Verbe;á-é;secouer la tête;shake the head;;;;;
bãge;1;Verbe;ã́-é;entasser;heap up, pile up.;;;;;
bãge;2;Verbe;ã́;doubler, répéter une action;double, repeat an action;;;;;
bagemd-baaga;;Nom;á-é-á-á;asparagus, piège de la hyène;asparagus;;bagem-baas e;Grass, herb, vine;;
bãgen-baga;;Nom;;espèce de plante;kind of plant;bãgen-bãgen;;Grass, herb, vine;;
bãgen-daaga;;Nom;ã̀-è-á;arbre (espèce);tree sp;;bãgen-daase;Tree;;
